[2023-05-09 16:51:18,278] - [trainer.py file line:72] - INFO: Current epoch learning rate: 1.000000e-04
[2023-05-09 16:51:38,088] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 50
[2023-05-09 16:51:38,136] - [trainer.py file line:93] - INFO: rec_loss: 0.0990622267
[2023-05-09 16:51:53,800] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 100
[2023-05-09 16:51:53,848] - [trainer.py file line:93] - INFO: rec_loss: 0.0949016586
[2023-05-09 16:52:09,521] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 150
[2023-05-09 16:52:09,569] - [trainer.py file line:93] - INFO: rec_loss: 0.0788278803
[2023-05-09 16:52:25,290] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 200
[2023-05-09 16:52:25,338] - [trainer.py file line:93] - INFO: rec_loss: 0.0822092593
[2023-05-09 16:52:41,086] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 250
[2023-05-09 16:52:41,134] - [trainer.py file line:93] - INFO: rec_loss: 0.0864515528
[2023-05-09 16:52:56,858] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 300
[2023-05-09 16:52:56,907] - [trainer.py file line:93] - INFO: rec_loss: 0.0767916664
[2023-05-09 16:53:12,672] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 350
[2023-05-09 16:53:12,721] - [trainer.py file line:93] - INFO: rec_loss: 0.0745781213
[2023-05-09 16:53:28,486] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 400
[2023-05-09 16:53:28,535] - [trainer.py file line:93] - INFO: rec_loss: 0.0566851757
[2023-05-09 16:53:44,300] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 450
[2023-05-09 16:53:44,342] - [trainer.py file line:93] - INFO: rec_loss: 0.0816159695
[2023-05-09 16:53:59,891] - [trainer.py file line:91] - INFO: init epoch: 1	 batch: 500
[2023-05-09 16:53:59,940] - [trainer.py file line:93] - INFO: rec_loss: 0.0688010529
[2023-05-09 16:54:02,015] - [trainer.py file line:72] - INFO: Current epoch learning rate: 1.000000e-04
[2023-05-09 16:54:19,408] - [trainer.py file line:91] - INFO: init epoch: 2	 batch: 50
[2023-05-09 16:54:19,457] - [trainer.py file line:93] - INFO: rec_loss: 0.0741007775
[2023-05-09 16:54:35,104] - [trainer.py file line:91] - INFO: init epoch: 2	 batch: 100
[2023-05-09 16:54:35,152] - [trainer.py file line:93] - INFO: rec_loss: 0.0819047093
